# T, L_min
3 12.3561
2.99401 12.0956
2.98802 11.8279
2.98203 11.8279
2.97604 11.8279
2.97005 11.8279
2.96406 11.8279
2.95807 11.8279
2.95208 11.8279
2.94609 11.8279
2.9401 11.8279
2.93411 11.8279
2.92812 11.8279
2.92213 11.8279
2.91614 11.8279
2.91015 11.8279
2.90416 11.8279
2.89817 11.8279
2.89218 11.8279
2.88619 11.8279
2.8802 11.8279
2.87421 11.8279
2.86822 11.8279
2.86223 11.8279
2.85624 11.8279
2.85025 11.7436
2.84426 11.7436
2.83827 11.7436
2.83228 11.7436
2.82629 11.7436
2.8203 11.7436
2.81431 11.7436
2.80832 11.7436
2.80233 11.7436
2.79634 11.7436
2.79035 11.7436
2.78436 11.7436
2.77837 11.7436
2.77238 11.7436
2.76639 11.7436
2.7604 11.7436
2.75441 11.7436
2.74842 11.7436
2.74243 11.7436
2.73644 11.7436
2.73045 11.7436
2.72446 11.7436
2.71847 11.7436
2.71248 11.7436
2.70649 11.7436
2.7005 11.7436
2.69451 11.7436
2.68852 11.7436
2.68253 11.7436
2.67654 11.7436
2.67055 11.7436
2.66456 11.7436
2.65857 11.7436
2.65258 11.7436
2.64659 11.7436
2.6406 11.7436
2.63461 11.7436
2.62862 11.7436
2.62263 11.7436
2.61664 11.7436
2.61065 11.7436
2.60466 11.7436
2.59867 11.7436
2.59268 11.7436
2.58669 11.7436
2.5807 11.7436
2.57471 11.7436
2.56872 11.7436
2.56273 11.7436
2.55674 11.7436
2.55075 11.7436
2.54476 11.7436
2.53877 11.7436
2.53278 11.7436
2.52679 11.7436
2.5208 11.7436
2.51481 11.7436
2.50882 11.7436
2.50283 11.2846
2.49684 11.2846
2.49085 11.2846
2.48486 11.2846
2.47887 11.2846
2.47288 11.2846
2.46689 11.2846
2.4609 11.2846
2.45491 11.2846
2.44892 11.2846
2.44293 11.2846
2.43694 11.2846
2.43095 11.2846
2.42496 11.2846
2.41897 11.2846
2.41298 11.2846
2.40699 11.2846
2.401 11.2846
2.39501 11.2846
2.38902 11.2846
2.38303 11.2846
2.37704 11.2846
2.37105 11.2846
2.36506 11.2846
2.35907 11.2846
2.35308 11.2846
2.34709 11.2846
2.3411 11.2846
2.33511 11.2846
2.32912 11.2846
2.32313 11.2846
2.31714 11.2846
2.31115 11.2846
2.30516 11.2846
2.29917 11.2846
2.29318 11.2846
2.28719 11.2846
2.2812 11.2846
2.27521 11.2846
2.26922 11.2846
2.26323 11.2846
2.25724 11.2846
2.25125 11.2846
2.24526 11.2846
2.23927 11.2846
2.23328 11.2846
2.22729 11.2846
2.2213 10.7464
2.21531 10.7464
2.20932 10.7464
2.20333 10.7464
2.19734 10.7464
2.19135 10.7464
2.18536 10.7464
2.17937 10.7464
2.17338 10.7464
2.16739 10.7464
2.1614 10.7464
2.15541 10.7464
2.14942 10.7464
2.14343 10.7464
2.13744 10.7464
2.13145 10.7464
2.12546 10.7464
2.11947 10.7464
2.11348 10.7464
2.10749 10.7464
2.1015 10.7464
2.09551 10.7464
2.08952 10.7464
2.08353 10.7464
2.07754 10.7464
2.07155 10.7464
2.06556 10.7464
2.05957 10.7464
2.05358 10.7464
2.04759 10.7464
2.0416 10.7464
2.03561 10.7464
2.02962 10.7464
2.02363 10.7464
2.01764 10.7464
2.01165 10.7464
2.00566 10.7464
1.99967 10.7464
1.99368 10.7464
1.98769 10.7464
1.9817 10.7464
1.97571 10.7464
1.96972 10.7464
1.96373 10.7464
1.95774 10.7464
1.95175 10.7464
1.94576 10.7464
1.93977 10.7464
1.93378 10.7464
1.92779 10.7464
1.9218 10.7464
1.91581 10.7464
1.90982 10.7464
