# T, L_min
5 25.8767
4.99002 23.0283
4.98004 23.0283
4.97006 23.0283
4.96008 23.0283
4.9501 23.0283
4.94012 23.0283
4.93014 23.0283
4.92016 23.0283
4.91018 23.0283
4.9002 23.0283
4.89022 23.0283
4.88024 23.0283
4.87026 23.0283
4.86028 23.0283
4.8503 23.0283
4.84032 23.0283
4.83034 23.0283
4.82036 23.0283
4.81038 23.0283
4.8004 23.0283
4.79042 23.0283
4.78044 23.0283
4.77046 23.0283
4.76048 23.0283
4.7505 23.0283
4.74052 23.0283
4.73054 23.0283
4.72056 23.0283
4.71058 23.0283
4.7006 23.0283
4.69062 23.0283
4.68064 23.0283
4.67066 23.0283
4.66068 23.0283
4.6507 23.0283
4.64072 23.0283
4.63074 23.0283
4.62076 23.0283
4.61078 23.0283
4.6008 23.0283
4.59082 23.0283
4.58084 23.0283
4.57086 23.0283
4.56088 23.0283
4.5509 23.0283
4.54092 23.0283
4.53094 23.0283
4.52096 23.0283
4.51098 23.0283
4.501 21.9786
4.49102 21.9786
4.48104 21.9786
4.47106 21.9786
4.46108 21.9786
4.4511 21.9786
4.44112 21.9786
4.43114 21.9786
4.42116 21.9786
4.41118 21.9786
4.4012 21.9786
4.39122 21.9786
4.38124 21.9786
4.37126 21.9786
4.36128 21.9786
4.3513 21.9786
4.34132 21.9786
4.33134 21.9786
4.32136 21.9786
4.31138 21.9786
4.3014 21.9786
4.29142 21.9786
4.28144 21.9786
4.27146 21.9786
4.26148 21.9786
4.2515 21.9786
4.24152 21.9786
4.23154 21.9786
4.22156 21.9786
4.21158 21.9786
4.2016 21.9786
4.19162 21.5537
4.18164 21.5537
4.17166 21.5537
4.16168 21.5537
4.1517 21.5537
4.14172 21.5537
4.13174 21.5537
4.12176 21.5537
4.11178 21.5537
4.1018 21.5537
4.09182 21.5537
4.08184 21.5537
4.07186 21.5537
4.06188 21.5537
4.0519 21.5537
4.04192 21.5537
4.03194 21.5537
4.02196 21.5537
4.01198 21.5537
4.002 21.5537
3.99202 21.5537
3.98204 21.5537
3.97206 21.5537
3.96208 21.5537
3.9521 21.5537
3.94212 21.5537
3.93214 21.5537
3.92216 21.5537
3.91218 21.5537
3.9022 21.5537
3.89222 21.5537
3.88224 21.5537
3.87226 21.5537
3.86228 21.5537
3.8523 20.9338
3.84232 20.9338
3.83234 20.9338
3.82236 20.9338
3.81238 20.9338
3.8024 20.9338
3.79242 20.9338
3.78244 20.9338
3.77246 20.9338
3.76248 20.9338
3.7525 20.9338
3.74252 20.9338
3.73254 20.9338
3.72256 20.9338
3.71258 20.9338
3.7026 20.9338
3.69262 20.9338
3.68264 20.9338
3.67266 20.9338
3.66268 20.9338
3.6527 20.9338
3.64272 20.9338
3.63274 20.9338
3.62276 20.9338
3.61278 20.9338
3.6028 20.9338
3.59282 20.9338
3.58284 20.9338
3.57286 20.9338
3.56288 20.9338
3.5529 20.9338
3.54292 20.9338
3.53294 20.9338
3.52296 20.9338
3.51298 20.9338
3.503 20.9338
3.49302 20.9338
3.48304 20.9338
3.47306 20.9338
3.46308 20.9338
3.4531 20.9338
3.44312 20.9338
3.43314 20.9338
3.42316 20.9338
3.41318 20.9338
3.4032 20.9338
3.39322 20.9338
3.38324 20.9338
3.37326 20.9338
3.36328 20.9338
3.3533 20.9338
3.34332 20.9338
3.33334 20.9338
3.32336 20.9338
3.31338 20.9338
3.3034 20.9338
3.29342 20.9338
3.28344 20.9338
3.27346 20.9338
3.26348 20.9338
3.2535 20.9338
