# T, L_min
5 12.447
4.99002 12.4005
4.98004 12.4005
4.97006 12.4005
4.96008 12.3207
4.9501 12.3207
4.94012 12.3207
4.93014 11.2101
4.92016 11.2101
4.91018 11.2101
4.9002 11.2101
4.89022 11.2101
4.88024 11.2101
4.87026 11.2101
4.86028 11.2101
4.8503 11.2101
4.84032 11.2101
4.83034 11.2101
4.82036 11.2101
4.81038 11.2101
4.8004 11.2101
4.79042 11.2101
4.78044 11.2101
4.77046 11.2101
4.76048 11.2101
4.7505 11.2101
4.74052 11.2101
4.73054 11.2101
4.72056 11.2101
4.71058 11.2101
4.7006 11.2101
4.69062 11.2101
4.68064 11.2101
4.67066 11.2101
4.66068 11.2101
4.6507 11.2101
4.64072 11.2101
4.63074 11.2101
4.62076 11.2101
4.61078 11.2101
4.6008 11.2101
4.59082 11.2101
4.58084 11.2101
4.57086 11.2101
4.56088 11.2101
4.5509 11.2101
4.54092 11.2101
4.53094 11.2101
4.52096 11.2101
4.51098 11.2101
4.501 11.2101
4.49102 11.2101
4.48104 11.2101
4.47106 11.2101
4.46108 11.2101
4.4511 11.2101
4.44112 11.2101
4.43114 11.2101
4.42116 11.2101
4.41118 11.2101
4.4012 11.2101
4.39122 11.2101
4.38124 11.2101
4.37126 11.2101
4.36128 11.2101
4.3513 11.2101
4.34132 11.2101
4.33134 11.2101
4.32136 11.2101
4.31138 11.2101
4.3014 11.2101
4.29142 11.2101
4.28144 11.2101
4.27146 11.2101
4.26148 11.2101
4.2515 11.2101
4.24152 11.2101
4.23154 11.2101
4.22156 11.2101
4.21158 11.2101
4.2016 11.2101
4.19162 11.2101
4.18164 11.2101
4.17166 11.2101
4.16168 11.2101
4.1517 11.2101
4.14172 11.2101
4.13174 11.2101
4.12176 11.2101
4.11178 11.2101
4.1018 11.2101
4.09182 11.2101
4.08184 11.2101
4.07186 11.2101
4.06188 11.2101
4.0519 11.2101
4.04192 11.2101
4.03194 11.2101
4.02196 11.2101
4.01198 11.2101
4.002 11.2101
3.99202 11.2101
3.98204 11.2101
3.97206 11.2101
3.96208 11.2101
3.9521 11.2101
3.94212 11.2101
3.93214 11.2101
3.92216 11.2101
3.91218 11.2101
3.9022 11.2101
3.89222 11.2101
3.88224 11.2101
3.87226 11.2101
3.86228 11.2101
3.8523 11.2101
3.84232 11.2101
3.83234 11.2101
3.82236 11.2101
3.81238 11.2101
3.8024 11.2101
3.79242 11.2101
3.78244 11.2101
3.77246 11.2101
3.76248 11.2101
3.7525 11.2101
3.74252 11.2101
3.73254 11.2101
3.72256 10.6455
3.71258 10.6455
3.7026 10.6455
3.69262 10.6455
3.68264 10.6455
3.67266 10.6455
3.66268 10.6455
3.6527 10.6455
3.64272 10.6455
3.63274 10.6455
3.62276 10.6455
3.61278 10.6455
3.6028 10.6455
3.59282 10.6455
3.58284 10.6455
3.57286 10.6455
3.56288 10.6455
3.5529 10.6455
3.54292 10.6455
3.53294 10.6455
3.52296 10.6455
3.51298 10.6455
3.503 10.6455
3.49302 10.6455
3.48304 10.6455
3.47306 10.6455
3.46308 10.6455
